TIPO DE AVISO;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
;INIC;Semestre;1884559;19797980;2003-08-06 00:00:00;2003-08-06 00:00:00;2003-08-07 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;
;INIC ENPT;Año;1663603;19866185;2009-10-01 00:00:00;2009-10-01 00:00:00;2010-10-10 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;
;INIC;Tres años;2557728;19866185;2015-01-04 00:00:00;2015-01-04 00:00:00;2015-08-09 00:00:00
;INIC;Año;2557718;19866185;2015-01-04 00:00:00;2015-01-04 00:00:00;2016-09-21 00:00:00
;INIC;Mes;1682728;19866184;2009-03-14 00:00:00;2009-03-14 00:00:00;2009-09-11 00:00:00
;INIC;Mes;1682728;19866184;2009-03-14 00:00:00;2009-03-14 00:00:00;2009-09-11 00:00:00
;INIC;Mes;1682728;19866184;2009-03-14 00:00:00;2009-03-14 00:00:00;2009-09-11 00:00:00
;INIC;Mes;1682728;19866184;2009-03-14 00:00:00;2009-03-14 00:00:00;2009-09-11 00:00:00
;INIC;Semestre;1806744;19866183;2006-01-21 00:00:00;2006-01-21 00:00:00;2008-10-08 00:00:00
;INIC;Mes;1884111;19892777;2003-08-09 00:00:00;2003-08-09 00:00:00;2003-10-01 00:00:00
;INIC;Mes;1776171;19866183;2006-12-17 00:00:00;2006-12-17 00:00:00;2007-05-09 00:00:00
;PROY;Mes;1884009;19797402;2003-08-13 00:00:00;2003-08-13 00:00:00;2004-08-03 00:00:00
;CPRO;Semestre;1883982;19798910;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-02-10 00:00:00
;CPRO;Semestre;1883977;19798909;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-02-10 00:00:00
;CPRO;Semestre;1883976;19798908;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-02-10 00:00:00
;CPRO;Semestre;1883965;19893514;2003-08-13 00:00:00;2003-08-13 00:00:00;2004-07-07 00:00:00
;CPRO;Semestre;1883964;19893513;2003-08-13 00:00:00;2003-08-13 00:00:00;2004-07-07 00:00:00
;CPRO;Semestre;1883963;19893512;2003-08-13 00:00:00;2003-08-13 00:00:00;2004-07-07 00:00:00
;CPRO;Semestre;1883962;19893411;2003-08-13 00:00:00;2003-08-13 00:00:00;2004-07-07 00:00:00
;CPRO;Semestre;1883961;19893463;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-06-10 00:00:00
;CPRO;Semestre;1883960;19893462;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-06-10 00:00:00
;CPRO;Semestre;1883959;19893461;2003-08-13 00:00:00;2003-08-13 00:00:00;2005-06-10 00:00:00
;CPRO;Semestre;1883847;19893465;2003-08-15 00:00:00;2003-08-15 00:00:00;2004-07-07 00:00:00
;PROY;Semestre;1883780;19868892;2003-08-15 00:00:00;2003-08-15 00:00:00;2008-09-10 00:00:00
;INIC;Mes;1882922;19893157;2003-08-19 00:00:00;2003-08-19 00:00:00;2003-10-01 00:00:00
;INIC;Mes;1882910;19893359;2003-08-21 00:00:00;2003-08-21 00:00:00;2004-07-25 00:00:00
;PROY;Semana;1882897;19893201;2003-08-21 00:00:00;2003-08-21 00:00:00;2005-06-22 00:00:00
;PROY;Semana;1882897;19893201;2003-08-21 00:00:00;2003-08-21 00:00:00;2005-06-22 00:00:00
;PROY;Semana;1882897;19893201;2003-08-21 00:00:00;2004-01-30 00:00:00;2005-06-22 00:00:00
;PROY;Semana;1882897;19893201;2003-08-21 00:00:00;2004-03-11 00:00:00;2005-06-22 00:00:00
;PROY;Semana;1882897;19893201;2003-08-21 00:00:00;2004-12-29 00:00:00;2005-06-22 00:00:00
;PROY;Mes;1882842;19876646;2003-08-22 00:00:00;2003-08-22 00:00:00;2005-01-12 00:00:00
;INIC;Semestre;1882821;19872845;2003-08-23 00:00:00;2003-08-23 00:00:00;2003-09-03 00:00:00
;INIC;Semestre;1882794;19867371;2003-08-23 00:00:00;2003-08-23 00:00:00;2003-12-25 00:00:00
;INIC;Semana;1882605;19796973;2003-08-27 00:00:00;2003-08-28 00:00:00;2003-09-19 00:00:00
;CPRO;Semestre;1882425;19875323;2003-08-31 00:00:00;2003-08-31 00:00:00;2004-09-02 00:00:00
;INIC;Año;1882248;19798814;2003-09-05 00:00:00;2003-09-05 00:00:00;2004-08-11 00:00:00
;INIC;Tres años;2557709;19866183;2015-01-04 00:00:00;2015-01-04 00:00:00;2018-09-07 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2403090;19891964;2018-06-27 00:00:00;2018-08-10 00:00:00;
;INIC;Very high;1862730;19866182;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;PROY;Semana;1881843;19875874;2003-09-14 00:00:00;2003-11-29 00:00:00;2004-08-14 00:00:00
;PROY;Semana;1881843;19875874;2003-09-14 00:00:00;2003-10-30 00:00:00;2004-08-14 00:00:00
;PROY;Semana;1881843;19875874;2003-09-14 00:00:00;2003-09-14 00:00:00;2004-08-14 00:00:00
;INIC;Semana;1881710;;2003-09-18 00:00:00;2003-09-18 00:00:00;2003-10-18 00:00:00
;INIC;Semana;1881496;19875890;2003-09-18 00:00:00;2003-10-30 00:00:00;2003-11-08 00:00:00
;INIC;Semana;1881496;19875890;2003-09-18 00:00:00;2003-09-18 00:00:00;2003-11-08 00:00:00
;INIC ENPT;Tres años;2557708;19866182;2015-01-04 00:00:00;2015-01-04 00:00:00;2018-12-19 00:00:00
;INIC;Semestre;1881165;19862531;2003-09-23 00:00:00;2004-10-01 00:00:00;2006-01-20 00:00:00
;INIC;Semana;1880771;19875874;2003-09-28 00:00:00;2003-10-30 00:00:00;2003-12-11 00:00:00
;INIC;Semana;1880381;19868479;2003-10-04 00:00:00;2003-10-04 00:00:00;2003-10-05 00:00:00
;PROY;Mes;1880235;19869387;2003-10-08 00:00:00;2003-10-08 00:00:00;2005-07-08 00:00:00
;INIC;Semana;1880131;19796973;2003-10-10 00:00:00;2003-11-28 00:00:00;2003-11-28 00:00:00
;PROY;Semana;1880108;19876900;2003-10-11 00:00:00;2004-02-08 00:00:00;2005-04-29 00:00:00
;INIC;Semana;1880083;19869318;2003-10-12 00:00:00;2003-10-12 00:00:00;2003-10-18 00:00:00
;PROY;Semana;1880074;19876648;2003-10-12 00:00:00;2004-02-08 00:00:00;2005-04-19 00:00:00
;INIC;Semana;1879815;19863867;2003-10-17 00:00:00;2003-10-29 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1879445;19868479;2003-10-19 00:00:00;2003-10-19 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1879439;19893008;2003-10-19 00:00:00;2003-10-19 00:00:00;2004-09-02 00:00:00
;CPRO;Semestre;1879354;19893492;2003-10-22 00:00:00;2003-10-22 00:00:00;2004-07-07 00:00:00
;CPRO;Semestre;1879352;19893490;2003-10-22 00:00:00;2003-10-22 00:00:00;2004-07-07 00:00:00
;INIC;Semana;1879222;19876645;2003-10-25 00:00:00;2003-12-26 00:00:00;2004-08-13 00:00:00
;PROY;Mes;1874753;19798129;2003-10-31 00:00:00;2003-10-31 00:00:00;2005-07-02 00:00:00
;INIC;Semana;1874672;19880799;2003-11-01 00:00:00;2003-11-01 00:00:00;2004-08-03 00:00:00
;INIC;Semana;1874672;19880799;2003-11-01 00:00:00;2003-12-20 00:00:00;2004-08-03 00:00:00
;INIC;Semana;1874641;;2003-11-02 00:00:00;2003-11-02 00:00:00;2003-12-12 00:00:00
;INIC;Tres años;1874573;;2003-11-05 00:00:00;2003-11-05 00:00:00;2004-07-25 00:00:00
;COPE ENPT;Año;1874559;19868894;2003-11-06 00:00:00;2003-11-06 00:00:00;2014-07-05 00:00:00
;;Semestre;1874539;19878539;2003-11-06 00:00:00;2003-11-06 00:00:00;2010-04-11 00:00:00
;PROY;Mes;1874530;19868414;2003-11-06 00:00:00;2003-11-06 00:00:00;2005-04-19 00:00:00
;INIC;Semana;1874440;19872843;2003-11-07 00:00:00;2003-11-07 00:00:00;2003-12-11 00:00:00
;INIC;Semana;1874358;19875963;2003-11-08 00:00:00;2003-11-19 00:00:00;2003-11-28 00:00:00
;INIC;Semana;1874313;;2003-11-09 00:00:00;2003-11-16 00:00:00;2003-12-11 00:00:00
;INIC;Mes;1874292;19892985;2003-03-28 00:00:00;2003-11-11 00:00:00;2004-02-15 00:00:00
;CPRO;Mes;1874262;19875481;2003-11-13 00:00:00;2003-12-04 00:00:00;2010-06-06 00:00:00
;INIC;Semestre;1874214;19798867;2003-03-28 00:00:00;2003-11-13 00:00:00;2004-02-15 00:00:00
;INIC;Semana;1874206;19863867;2003-11-14 00:00:00;2004-10-02 00:00:00;2005-06-13 00:00:00
;PROY;Semestre;1874196;19868379;2003-11-14 00:00:00;2006-07-15 00:00:00;2006-07-15 00:00:00
;INIC;Tres años;1874181;;2003-11-14 00:00:00;2003-12-04 00:00:00;2003-12-12 00:00:00
;INIC;Tres años;1874181;;2003-11-14 00:00:00;2003-12-04 00:00:00;2003-12-12 00:00:00
;PROY;Semana;1874102;19870030;2003-11-15 00:00:00;2003-11-15 00:00:00;2005-06-14 00:00:00
;PROY;Semana;1874097;19870030;2003-11-15 00:00:00;2003-11-15 00:00:00;2005-06-14 00:00:00
;INIC;Semana;1874058;;2003-11-16 00:00:00;2003-11-16 00:00:00;2003-12-12 00:00:00
;INIC;Semana;1874058;;2003-11-16 00:00:00;2003-11-18 00:00:00;2003-12-12 00:00:00
